ID,Bank,City,Branch,SWIFT Code
564,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK",SURABAYA,KALIASIN BRANCH,BRINIDJA096
565,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK",SURABAYA,PAHLAWAN BRANCH,BRINIDJA211
566,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK",SURABAYA,RAJAWALI BRANCH,BRINIDJA172
567,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK",SURABAYA,TANJUNG PERAK BRANCH,BRINIDJA328
568,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK",TANGERANG,TANGERANG BRANCH,BRINIDJA120
569,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK",TANJUNG KARANG,TANJUNG KARANG BRANCH,BRINIDJA098
570,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK",TANJUNG PANDAN,TANJUNG PANDAN BRANCH,BRINIDJA131
571,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK",TANJUNG PINANG,TANJUNG PINANG BRANCH,BRINIDJA174
572,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK",TEBING TINGGI,TEBINGTINGGI BRANCH,BRINIDJA283
573,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK",TEGAL,TEGAL BRANCH,BRINIDJA101
574,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK",TELUK BETUNG,TELUK BETUNG BRANCH,BRINIDJA285
575,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK",TEMBILAHAN,TEMBILAHAN BRANCH,BRINIDJA175
576,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK",TERNATE,TERNATE BRANCH,BRINIDJA103
577,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK",UJUNG PANDANG,ACHMAD YANI BRANCH,BRINIDJA050
578,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK",UJUNG PANDANG,SOMBA OPU BRANCH,BRINIDJA343
579,PT. BANK RAYA INDONESIA TBK,JAKARTA,,AGTBIDJA
580,PT. BANK SBI INDONESIA,JAKARTA,,SBIDIDJA
581,PT. BANK SEABANK INDONESIA,JAKARTA,,SSPIIDJA
582,PT. BANK SHINHAN INDONESIA,JAKARTA,,SHBKIDJA
583,PT. BANK SUMUT,MEDAN,,PDSUIDSA
584,"PT. BANK VICTORIA INTERNATIONAL, TBK",JAKARTA,,BVICIDJA
585,PT. BNP PARIBAS SECURITIES INDONESIA,JAKARTA,,PBPEIDJ1
586,PT. CITIGROUP SECURITIES INDONESIA,JAKARTA,,CITIIDX1
587,PT. DANAREKSA SEKURITAS,JAKARTA,,DANCIDJ1
588,PT. DANAREKSA SEKURITAS,SURABAYA,,DANCIDJ10JD
589,PT. GOLDMAN SACHS INDONESIA SECURITIES,JAKARTA,,GSIEIDJ1
590,PT. JASA UTAMA CAPITAL (JUC),JAKARTA,,KAPUIDJ1
591,PT. MAHAKARYA ARTHA SECURITIES,JAKARTA,,MAASIDJ1
592,PT. MANDIRI SEKURITAS,JAKARTA,,MASKIDJ1
593,PT. MAYBANK KIM ENG SEKURITAS,JAKARTA,,KMESIDJ1
594,PT. PANIN SEKURITAS TBK.,JAKARTA,,PANUIDJ1
595,PT. PERUSAHAAN DAGANG SUBURAMAN,MALANG,,BATSIDB1
596,PT. RHB SEKURITAS INDONESIA,JAKARTA,,ONSNIDJ1
597,PT. SUN LIFE FINANCIAL INDONESIA,JAKARTA,,SLFIIDJ1
598,PT. WATERFRONT SECURITIES INDONESIA,JAKARTA,,PARIIDJ1
599,PT.BANK MNC INTERNASIONAL TBK.,JAKARTA,,BUMIIDJA
600,PT.BANK WOORI SAUDARA INDONESIA 1906 TBK,JAKARTA,,HVBKIDJA
601,PT.PHILLIP SECURITIES INDONESIA,JAKARTA,,PHSPIDJ1
602,RASHID HUSSAIN SECURITIES PT,JAKARTA,,RHUSIDJ1
603,"REDIALINDO MANDIRI, PT",JAKARTA,,REDMIDJ1
604,"SEKURITAS INDO PASIFIK INVESTASI,PT",SURABAYA,,SEIPIDJ1
605,"SEKURITAS INDOPASIFIC INV., PT",JAKARTA,,SEIIIDJ1
606,"SINARMAS SEKURITAS, PT",JAKARTA,,SINKIDJ1
607,STANDARD CHARTERED BANK,BANDUNG,BANDUNG BRANCH,SCBLIDJXBDG
608,STANDARD CHARTERED BANK,JAKARTA,,SCBLIDJX
609,STANDARD CHARTERED BANK,JAKARTA,,STCIIDJ1
610,STANDARD CHARTERED BANK,JAKARTA,PT SCSI,SCBLIDJXIDX
611,STANDARD CHARTERED BANK,MEDAN,MEDAN BRANCH,SCBLIDJXMDN
612,STANDARD CHARTERED BANK,SEMARANG,SEMARANG BRANCH,SCBLIDJXSMG
613,STANDARD CHARTERED BANK,SURABAYA,SURABAYA BRANCH,SCBLIDJXSBY
614,TRANSPACIFIC SECURINDO PT,JAKARTA,,TRAEIDJ1
615,"UOB KAY HIAN SECURITIES, PT",JAKARTA,,UKHEIDJ1
616,VICTORIA SEKURITAS PT.,JAKARTA,,TASMIDJ1
617,YAMA BANK,JAKARTA,,BYAMIDJ1
618,"YUANTA SECURITIES INDONESIA, PT",JAKARTA,,AMIDIDJ1
