ID,Bank,City,Branch,SWIFT Code
143,BANK NEGARA INDONESIA - PT (PERSERO),KEBUMEN,KEBUMEN BRANCH,BNINIDJAKBM
144,BANK NEGARA INDONESIA - PT (PERSERO),KEDIRI,KEDIRI BRANCH,BNINIDJAKDI
145,BANK NEGARA INDONESIA - PT (PERSERO),KENDARI,KENDARI BRANCH,BNINIDJAKDR
146,BANK NEGARA INDONESIA - PT (PERSERO),KETAPANG,KETAPANG BRANCH,BNINIDJAKPG
147,BANK NEGARA INDONESIA - PT (PERSERO),KLATEN,KLATEN BRANCH,BNINIDJAKLA
148,BANK NEGARA INDONESIA - PT (PERSERO),KOTABARU,KOTABARU P. LAUT BRANCH,BNINIDJAKTU
149,BANK NEGARA INDONESIA - PT (PERSERO),KOTABUMI,KOTA BUMI BANCH,BNINIDJAKTI
150,BANK NEGARA INDONESIA - PT (PERSERO),KOTAMOBAGU,KOTAMOBAGU BRANCH,BNINIDJAKTM
151,BANK NEGARA INDONESIA - PT (PERSERO),KUALA TANJUNG,KUALA TANJUNG BRANCH,BNINIDJAKTJ
152,BANK NEGARA INDONESIA - PT (PERSERO),KUALAKAPUAS,KUALAKAPUAS BRANCH,BNINIDJAKKP
153,BANK NEGARA INDONESIA - PT (PERSERO),KUALATUNGKAL,KUALATUNGKAL BRANCH,BNINIDJAKLT
154,BANK NEGARA INDONESIA - PT (PERSERO),KUDUS,KUDUS BRANCH,BNINIDJAKDS
155,BANK NEGARA INDONESIA - PT (PERSERO),KUNINGAN,KUNINGAN BRANCH,BNINIDJAKNG
156,BANK NEGARA INDONESIA - PT (PERSERO),KUPANG,KUPANG BRANCH - EAST NUSATENGGARA,BNINIDJAKPA
157,BANK NEGARA INDONESIA - PT (PERSERO),LANGSA,LANGSA BRANCH,BNINIDJALGS
158,BANK NEGARA INDONESIA - PT (PERSERO),LEGIAN,LEGIAN BRANCH,BNINIDJALGA
159,BANK NEGARA INDONESIA - PT (PERSERO),LHOKSEUMAWE,LHOKSEUMAWE BRANCH,BNINIDJALSW
160,BANK NEGARA INDONESIA - PT (PERSERO),LUBUKLINGGAU,LUBUKLINGGAU BRANCH,BNINIDJALLG
161,BANK NEGARA INDONESIA - PT (PERSERO),LUMAJANG,LUMAJANG BRANCH,BNINIDJALMJ
162,BANK NEGARA INDONESIA - PT (PERSERO),LUWUK,LUWUK BRANCH,BNINIDJALWK
163,BANK NEGARA INDONESIA - PT (PERSERO),MADIUN,MADIUN BRANCH,BNINIDJAMAD
164,BANK NEGARA INDONESIA - PT (PERSERO),MAGELANG,MAGELANG BRANCH,BNINIDJAMGL
165,BANK NEGARA INDONESIA - PT (PERSERO),MAJALAYA,MAJALAYA BRANCH,BNINIDJAMJL
166,BANK NEGARA INDONESIA - PT (PERSERO),MALANG,MALANG BRANCH,BNINIDJAMLG
167,BANK NEGARA INDONESIA - PT (PERSERO),MALANG,UNIBRAW BR. MLG.,BNINIDJAUBM
168,BANK NEGARA INDONESIA - PT (PERSERO),MANADO,MANADO BRANCH,BNINIDJAMDO
169,BANK NEGARA INDONESIA - PT (PERSERO),MANADO,PS. KANAKA BRANCH,BNINIDJAKNK
170,BANK NEGARA INDONESIA - PT (PERSERO),MANOKWARI,MANOKWARI BRANCH,BNINIDJAMWI
171,BANK NEGARA INDONESIA - PT (PERSERO),MATARAM,MATARAM BRANCH,BNINIDJAMTA
172,BANK NEGARA INDONESIA - PT (PERSERO),MAUMERE,MAUMERE BRANCH,BNINIDJAMRE
173,BANK NEGARA INDONESIA - PT (PERSERO),MEDAN,JL. SUTOMO MEDAN BRANCH,BNINIDJAJSM
174,BANK NEGARA INDONESIA - PT (PERSERO),MEDAN,MEDAN BRANCH,BNINIDJAMDN
175,BANK NEGARA INDONESIA - PT (PERSERO),MEDAN,UNIV. SUMUT BRANCH,BNINIDJAUSU
176,BANK NEGARA INDONESIA - PT (PERSERO),METRO,METRO BRANCH,BNINIDJAMET
177,BANK NEGARA INDONESIA - PT (PERSERO),MEULABOH,MEULABOH BRANCH,BNINIDJAMBO
178,BANK NEGARA INDONESIA - PT (PERSERO),NUNUKAN,NUNUKAN BRANCH,BNINIDJANNK
179,BANK NEGARA INDONESIA - PT (PERSERO),PADANG,AHMAD YANI PADANG BRANCH,BNINIDJAAYP
180,BANK NEGARA INDONESIA - PT (PERSERO),PADANG,IMAM BONJOL BRANCH,BNINIDJAIBP
181,BANK NEGARA INDONESIA - PT (PERSERO),PADANG,PADANG BRANCH,BNINIDJAPDG
182,BANK NEGARA INDONESIA - PT (PERSERO),PADANG SIDEMPUAN,PADANG SIDEMPUAN BRANCH,BNINIDJAPDS
183,BANK NEGARA INDONESIA - PT (PERSERO),PALANGKARAYA,PALANGKARAYA BRANCH,BNINIDJAPRY
184,BANK NEGARA INDONESIA - PT (PERSERO),PALEMBANG,BOOM BARU BRANCH,BNINIDJABBP
185,BANK NEGARA INDONESIA - PT (PERSERO),PALEMBANG,JEMBATAN AMPERA PALEMBANG BRANCH,BNINIDJAJAP
186,BANK NEGARA INDONESIA - PT (PERSERO),PALEMBANG,MUSI PALEMBANG BRANCH,BNINIDJAMSP
187,BANK NEGARA INDONESIA - PT (PERSERO),PALEMBANG,PALEMBANG BRANCH,BNINIDJAPBG
188,BANK NEGARA INDONESIA - PT (PERSERO),PALOPO,PALOPO BRANCH,BNINIDJAPLP
189,BANK NEGARA INDONESIA - PT (PERSERO),PALU,PALU BRANCH,BNINIDJAPLU
190,BANK NEGARA INDONESIA - PT (PERSERO),PAMEKASAN,PAMEKASAN BRANCH,BNINIDJAPKN
191,BANK NEGARA INDONESIA - PT (PERSERO),PANGKAL PINANG,PANGKAL PINANG BRANCH,BNINIDJAPKP
192,BANK NEGARA INDONESIA - PT (PERSERO),PANGKALAN BUN,PANGKALAN BUN BRANCH,BNINIDJAPKB
193,BANK NEGARA INDONESIA - PT (PERSERO),PANJANG,PANJANG BRANCH,BNINIDJAPJG
194,BANK NEGARA INDONESIA - PT (PERSERO),PARE-PARE,PARE-PARE BRANCH,BNINIDJAPRE
195,BANK NEGARA INDONESIA - PT (PERSERO),PASURUAN,PASURUAN BRANCH,BNINIDJAPSN
196,BANK NEGARA INDONESIA - PT (PERSERO),PATI,PATI BRANCH,BNINIDJAPTI
197,BANK NEGARA INDONESIA - PT (PERSERO),PAYAKUMBUH,PAYAKUMBUH BRANCH,BNINIDJAPYK
198,BANK NEGARA INDONESIA - PT (PERSERO),PEKALONGAN,PEKALONGAN BRANCH,BNINIDJAPKL
199,BANK NEGARA INDONESIA - PT (PERSERO),PEKANBARU,PASAR PUSAT PEKANBARU BRANCH,BNINIDJAPPP
200,BANK NEGARA INDONESIA - PT (PERSERO),PEKANBARU,PEKANBARU BRANCH,BNINIDJAPBR
201,BANK NEGARA INDONESIA - PT (PERSERO),PEMANGKAT,PEMANGKAT BRANCH,BNINIDJAPMT
202,BANK NEGARA INDONESIA - PT (PERSERO),PEMATANG SIANTAR,PEMATANG SIANTAR BRANCH,BNINIDJAPMS
203,BANK NEGARA INDONESIA - PT (PERSERO),POLEWALI,POLEWALI BRANCH,BNINIDJAPLW
204,BANK NEGARA INDONESIA - PT (PERSERO),PONOROGO,PONOROGO BRANCH,BNINIDJAPON
205,BANK NEGARA INDONESIA - PT (PERSERO),PONTIANAK,PONTIANAK BRANCH,BNINIDJAPNK
206,BANK NEGARA INDONESIA - PT (PERSERO),POSO,POSO BRANCH,BNINIDJAPSO
207,BANK NEGARA INDONESIA - PT (PERSERO),PRABUMULIH,PRABUMULIH BRANCH,BNINIDJAPBM
208,BANK NEGARA INDONESIA - PT (PERSERO),PROBOLINGGO,PROBOLINGGO BRANCH,BNINIDJAPRB
209,BANK NEGARA INDONESIA - PT (PERSERO),PURBALINGGA,PURBALINGGA BRANCH,BNINIDJAPBL
210,BANK NEGARA INDONESIA - PT (PERSERO),PURWAKARTA,PURWAKARTA BRANCH,BNINIDJAPWK
211,BANK NEGARA INDONESIA - PT (PERSERO),PURWOKERTO,PURWOKERTO BRANCH,BNINIDJAPWO
212,BANK NEGARA INDONESIA - PT (PERSERO),PURWOREJO,PURWOREJO BRANCH,BNINIDJAPWR
213,BANK NEGARA INDONESIA - PT (PERSERO),RANGKASBITUNG,RANGKASBITUNG BRANCH,BNINIDJARKB
214,BANK NEGARA INDONESIA - PT (PERSERO),RENGAT,RENGAT BRANCH,BNINIDJARGT
215,BANK NEGARA INDONESIA - PT (PERSERO),SALATIGA,SALATIGA BRANCH,BNINIDJASLG
216,BANK NEGARA INDONESIA - PT (PERSERO),SAMARINDA,SAMARINDA BRANCH,BNINIDJASMD
217,BANK NEGARA INDONESIA - PT (PERSERO),SAMPIT,SAMPIT BRANCH,BNINIDJASPT
218,BANK NEGARA INDONESIA - PT (PERSERO),SELAT PANJANG,SELAT PANJANG BRANCH,BNINIDJASLP
219,BANK NEGARA INDONESIA - PT (PERSERO),SEMARANG,KARANGAYU BRANCH,BNINIDJAKRU
220,BANK NEGARA INDONESIA - PT (PERSERO),SEMARANG,SEMARANG BRANCH,BNINIDJASMG
221,BANK NEGARA INDONESIA - PT (PERSERO),SEMARANG,UNDIP BR. SMG.,BNINIDJAUDS
222,BANK NEGARA INDONESIA - PT (PERSERO),SENGKANG,SENGKANG BRANCH,BNINIDJASKG
223,BANK NEGARA INDONESIA - PT (PERSERO),SERANG,SERANG BRANCH,BNINIDJASRG
224,BANK NEGARA INDONESIA - PT (PERSERO),SIBOLGA,SIBOLGA BRANCH,BNINIDJASBG
225,BANK NEGARA INDONESIA - PT (PERSERO),SIDOARJO,SIDOARJO BRANCH,BNINIDJASDA
226,BANK NEGARA INDONESIA - PT (PERSERO),SIGLI,SIGLI BRANCH,BNINIDJASGL
227,BANK NEGARA INDONESIA - PT (PERSERO),SINGARAJA,SINGARAJA BRANCH,BNINIDJASGR
228,BANK NEGARA INDONESIA - PT (PERSERO),SINGKAWANG,SINGKAWANG BRANCH,BNINIDJASKW
229,BANK NEGARA INDONESIA - PT (PERSERO),SITUBONDO,SITUBONDO BRANCH,BNINIDJASTB
230,BANK NEGARA INDONESIA - PT (PERSERO),SORONG,SORONG BRANCH,BNINIDJASOR
231,BANK NEGARA INDONESIA - PT (PERSERO),SUBANG,SUBANG BRANCH,BNINIDJASUB
232,BANK NEGARA INDONESIA - PT (PERSERO),SUKABUMI,SUKABUMI BRANCH,BNINIDJASKM
233,BANK NEGARA INDONESIA - PT (PERSERO),SUMBAWA BESAR,SUMBAWA BESAR BRANCH,BNINIDJASBW
234,BANK NEGARA INDONESIA - PT (PERSERO),SUMEDANG,SUMEDANG BRANCH,BNINIDJASDG
235,BANK NEGARA INDONESIA - PT (PERSERO),SUMENEP,SUMENEP BRANCH,BNINIDJASMP
236,BANK NEGARA INDONESIA - PT (PERSERO),SUNGAIPENUH,SUNGAIPENUH BRANCH,BNINIDJASPN
237,BANK NEGARA INDONESIA - PT (PERSERO),SURABAYA,AIRLANGGA UNIVERSITY BRANCH,BNINIDJAUAS
238,BANK NEGARA INDONESIA - PT (PERSERO),SURABAYA,JEMBATAN MERAH BRANCH,BNINIDJAJTM
239,BANK NEGARA INDONESIA - PT (PERSERO),SURABAYA,KUSUMA BANGSA BRANCH,BNINIDJAKBS
240,BANK NEGARA INDONESIA - PT (PERSERO),SURABAYA,SURABAYA BRANCH,BNINIDJASBY
241,BANK NEGARA INDONESIA - PT (PERSERO),SURABAYA,TANJUNG PERAK BRANCH,BNINIDJATPK
242,BANK NEGARA INDONESIA - PT (PERSERO),SURABAYA,URIP SUMOHARJO BRANCH,BNINIDJAUSM
243,BANK NEGARA INDONESIA - PT (PERSERO),SURAKARTA,PASAR KLEWER SURAKARTA BRANCH,BNINIDJAPKS
244,BANK NEGARA INDONESIA - PT (PERSERO),SURAKARTA,SURAKARTA BRANCH,BNINIDJASLO
245,BANK NEGARA INDONESIA - PT (PERSERO),SURAKARTA,UNIV.SEBELAS MARET BRANCH,BNINIDJASMR
246,BANK NEGARA INDONESIA - PT (PERSERO),TAHUNA,TAHUNA BRANCH,BNINIDJATHN
247,BANK NEGARA INDONESIA - PT (PERSERO),TANGERANG,TANGERANG BRANCH,BNINIDJATRG
248,BANK NEGARA INDONESIA - PT (PERSERO),TANJUNG KARANG,TANJUNG KARANG BRANCH,BNINIDJATKR
249,BANK NEGARA INDONESIA - PT (PERSERO),TANJUNG PINANG,TANJUNG PINANG BRANCH,BNINIDJATPN
250,BANK NEGARA INDONESIA - PT (PERSERO),TANJUNGREDEB,TANJUNGREDEB BRANCH,BNINIDJATRB
251,BANK NEGARA INDONESIA - PT (PERSERO),TARAKAN,TARAKAN BRANCH,BNINIDJATRN
252,BANK NEGARA INDONESIA - PT (PERSERO),TASIKMALAYA,TASIKMALAYA BRANCH,BNINIDJATMA
253,BANK NEGARA INDONESIA - PT (PERSERO),TEBING TINGGI,TEBINGTINGGI BRANCH,BNINIDJATTI
254,BANK NEGARA INDONESIA - PT (PERSERO),TEGAL,TEGAL BRANCH,BNINIDJATGL
255,BANK NEGARA INDONESIA - PT (PERSERO),TEMANGGUNG,TEMANGGUNG BRANCH,BNINIDJATMG
256,BANK NEGARA INDONESIA - PT (PERSERO),TEMBILAHAN,TEMBILAHAN BRANCH,BNINIDJATBH
257,BANK NEGARA INDONESIA - PT (PERSERO),TERNATE,TERNATE BRANCH,BNINIDJATNT
258,BANK NEGARA INDONESIA - PT (PERSERO),TG. BALAI,TANJUNG BALAI KARIMUN BRANCH,BNINIDJATBK
259,BANK NEGARA INDONESIA - PT (PERSERO),TG. BALAI ASAHAN,TG. BALAI ASAHAN,BNINIDJATBA
260,BANK NEGARA INDONESIA - PT (PERSERO),TOBELO,TOBELO BRANCH,BNINIDJATBL
261,BANK NEGARA INDONESIA - PT (PERSERO),TOLI-TOLI,TOLI-TOLI BRANCH,BNINIDJATLI
262,BANK NEGARA INDONESIA - PT (PERSERO),TUBAN,TUBAN BRANCH - EAST JAVA,BNINIDJATUB
263,BANK NEGARA INDONESIA - PT (PERSERO),TULUNGAGUNG,TULUNGAGUNG,BNINIDJATLA
264,BANK NEGARA INDONESIA - PT (PERSERO),UJUNG PANDANG,MATTOANGIN BRANCH,BNINIDJAMAT
265,BANK NEGARA INDONESIA - PT (PERSERO),UJUNG PANDANG,UJUNG PANDANG BRANCH,BNINIDJAUPG
266,BANK NEGARA INDONESIA - PT (PERSERO),WATANSOPPENG,WATANSOPPENG BRANCH,BNINIDJAWTS
267,BANK NEGARA INDONESIA - PT (PERSERO),WONOGIRI,WONOGIRI BRANCH,BNINIDJAWGR
268,BANK NEGARA INDONESIA - PT (PERSERO),WONOKROMO,WONOKROMO BRANCH,BNINIDJAWNK
269,BANK NEGARA INDONESIA - PT (PERSERO),WONOSOBO,WONOSOBO BRANCH,BNINIDJAWSB
270,BANK NEGARA INDONESIA - PT (PERSERO),YOGYAKARTA,UGM BRANCH,BNINIDJAUGM
271,BANK NEGARA INDONESIA - PT (PERSERO),YOGYAKARTA,YOGYAKARTA BRANCH,BNINIDJAYGY
272,"BANK OF AMERICA, N.A. JAKARTA BRANCH",JAKARTA,,BOFAID2X
273,"BANK OF AMERICA, N.A. JAKARTA BRANCH",JAKARTA,,BOFAID2XGRC
274,"BANK OF CHINA (HONG KONG) LIMITED, JAKARTA BRANCH",JAKARTA,,BKCHIDJA
275,BANK RESONA PERDANIA PT.,JAKARTA,,BPIAIDJA
276,BANK SAHABAT SAMPOERNA,JAKARTA,,SAHMIDJA
277,BANK SINARMAS,JAKARTA,,SBJKIDJA
278,BANK SWAGUNA PT,JAKARTA,,SWABIDJ1
279,"BANK TABUNGAN NEGARA (PERSERO), PT.",JAKARTA,HEAD OFFICE,BTANIDJA
280,"BANK TABUNGAN NEGARA (PERSERO), PT.",MEDAN,,BTANIDJ10SS
281,"BANK TABUNGAN NEGARA (PERSERO), PT.",SURABAYA,,BTANIDJ10JD
282,BCA SEKURITAS PT,JAKARTA,,DINUIDJ1
283,BINA TATALAKSANA PASIFIK PT,JAKARTA,,BITPIDJ1
284,"BINAARTHA PARAMA,PT",JAKARTA,,BINRIDJ1
285,"BINAARTHA PARAMA,PT",SURABAYA,,BINRIDJ10JD
286,BOMAR SECURITIES PT,JAKARTA,,BOMSIDJ1
287,BT PRIMA SECURITIES INDONESIA PT,JAKARTA,,PRSIIDJ1
288,"BUANAMAS INVESTINDO,PT",JAKARTA,,BUAIIDJ1
289,BURSA BERJANGKA JAKARTA (JAKARTA FUTURES EXCHANGE),JAKARTA,,XBBJIDJ1
290,"BZW NIAGA SECURITIES, PT",JAKARTA,,BZNSIDJ1
291,"CGS-CIMB SEKURITAS INDONESIA, PT",JAKARTA,,GOHOIDJ1
292,"CGS-CIMB SEKURITAS INDONESIA, PT",JAKARTA,,NIASIDJ1
293,"CITIBANK, N.A.",BANDUNG,,CITIIDJXBDG
294,"CITIBANK, N.A.",JAKARTA,,CITIIDJX
295,"CITIBANK, N.A.",MEDAN,,CITIIDJXMDN
296,"CITIBANK, N.A.",SURABAYA,,CITIIDJXSBY
297,CLSA SEKURITAS INDONESIA,JAKARTA,,CLSAIDJ1
298,"DANAMON SECURITAS,PT",JAKARTA,,DANEIDJ1
299,DANASAKTI SEKURITAS INDONESIA,JAKARTA,,DANRIDJ1
300,DEUTSCHE BANK AG,JAKARTA,,DEUTIDJA
301,DEUTSCHE BANK AG,JAKARTA,DBJK INVESTMENT BANKING OPS,DEUTIDJAIBO
302,DEUTSCHE BANK AG,JAKARTA,DEUTSCHE SECURITIES INDONESIA,DEUTIDJADSI
303,"DWIDANA SAKTI SEKURINDO, PT",JAKARTA,,DWSSIDJ1
304,"E-CAPITAL SECURITIES, PT",JAKARTA,,SURAIDJ1
305,HSBC SECURITIES INDONESIA PT.,JAKARTA,,HSSEIDJ1
306,"HSBC SECURITIES INDONESIA, PT",JAKARTA,,WJCAIDJ1
307,INDONESIA EXIMBANK,JAKARTA,,BEXIIDJA
308,INDONESIA STOCK EXCHANGE,JAKARTA,,XJKTIDJ1
309,"INTI FIKASA SEKURINDO, PT",JAKARTA,,INFEIDJ1
310,JAKARTA NEGOTIATED BOARD,JAKARTA,,XJNBIDJ1
311,"JPMORGAN CHASE BANK, N.A., JAKARTA BRANCH",JAKARTA,,CHASIDJX
312,"JPMORGAN CHASE BANK, N.A., JAKARTA BRANCH",JAKARTA,TELEX AND S.W.I.F.T. MESSAGE ENQUIRIES,CHASIDJXENQ
313,"KESTREL SEKURITAS INDONESIA,PT",JAKARTA,,KESIIDJ1
314,KUSTODIAN SENTRAL EFEK INDONESIA PT,JAKARTA,,KSEIIDJA
315,MUAMALAT,SEMARANG,,MUAMIDJ1
316,"MUFG BANK, LTD. JAKARTA BRANCH",JAKARTA,JAKARTA BRANCH,BOTKIDJX
317,"MULTICOR SECURITIES, PT",JAKARTA,,MULSIDJ1
318,NIKKO SECURITIES INDONESIA PT,JAKARTA,,NIKKIDJ1
319,OCBC,BANDUNG,ASIA AFRIKA BRANCH,NISPIDJ1BDG
320,OCBC,BATAM,,NISPIDJ1BTM
321,OCBC,JAKARTA,,NISPIDJA
322,OCBC,SEMARANG,,NISPIDJ1SMG
323,OCBC,SURABAYA,,NISPIDJ1SBY
324,"OCBC SIKAP SECURITIES, PT",JAKARTA,,OCSSIDJ1
325,P. T. NOMURA INDONESIA,JAKARTA,,NOMIIDJ1
326,P.T. BANK MULTI ARTA SENTOSA,JAKARTA,,BMSEIDJA
327,P.T. GOLDMAN SACHS INDONESIA,JAKARTA,,GOSDIDJ1
328,P.T. SAMSUNG ELECTRONICS INDONESIA,BEKASI,,SECTIDJ1
329,P.T. SAMSUNG ELECTRONICS INDONESIA,BEKASI,SEIN,SECTIDJ1570
330,P.T. SAMSUNG ELECTRONICS INDONESIA,JAKARTA,STIN,SECTIDJ1571
331,PAN INDONESIA BANK PT.,JAKARTA,,PINBIDJA
332,"PANIN CAPITAL, PT",JAKARTA,,PANCIDJ1
333,"PANIN CAPITAL, PT",SURABAYA,,PANCIDJ10JD
334,PARAMITRA ALFA SEKURITAS,JAKARTA,,PEKUIDL1
335,POS INDONESIA,BANDUNG,POS INDONESIA HQ,POIDIDJ1
336,PRIMASIA SECURITIES PT,JAKARTA,,MANRIDJ1
337,PT ABACUS CAPITAL INDONESIA,JAKARTA,,PTACIDJ1
338,PT AIA FINANCIAL,JAKARTA,,AIACIDJA
339,PT AIA FINANCIAL,TANGERANG,GENERAL INVESTMENT OPERATIONS,AIACIDJ1GIO
340,PT ALDIRACITA CORPOTAMA,JAKARTA,,ALDCIDJ1
341,PT ANTABOGA DELTA SEKURITAS INDONESIA,JAKARTA,,ADSIIDJ1
342,PT BAHANA SEKURITAS,JAKARTA,,REKSIDJ1
343,PT BANK ACEH SYARIAH,BANDA ACEH,,ACEHIDSS
344,PT BANK BNP PARIBAS INDONESIA,JAKARTA,,AEHLIDJ1
345,PT BANK BTPN TBK,JAKARTA,,SUNIIDJA
346,PT BANK BUMI ARTA TBK,JAKARTA,,BBAIIDJA
347,"PT BANK CAPITAL INDONESIA, TBK",JAKARTA,,BCIAIDJA
348,PT BANK CHINA CONSTRUCTION BANK INDONESIA TBK,JAKARTA,,BWKIIDJA
349,PT BANK COMMONWEALTH,SURABAYA,,ARNKIDJ1
350,PT BANK DBS INDONESIA,JAKARTA,,DBSBIDJA
351,PT BANK DBS INDONESIA,JAKARTA,JAKARTA BRANCH,DBSBIDJAIBD
352,PT BANK DBS INDONESIA,SURABAYA,SYRABAYA BRANCH,DBSBIDJASBY
353,PT BANK DIGITAL BCA,JAKARTA,,BBLUIDJA
354,PT BANK HSBC INDONESIA,BANDUNG,,HSBCIDJABAN
355,PT BANK HSBC INDONESIA,BATAM,,HSBCIDJABAT
356,PT BANK HSBC INDONESIA,JAKARTA,,HSBCIDJA
357,PT BANK HSBC INDONESIA,JAKARTA,HSS DCC INDONESIA,HSBCIDJADCC
358,PT BANK HSBC INDONESIA,JAKARTA,WEALTH BUSINESS SERVICES,HSBCIDJAWBS
359,PT BANK HSBC INDONESIA,MEDAN,,HSBCIDJAMDN
360,PT BANK HSBC INDONESIA,SEMARANG,,HSBCIDJASEM
361,PT BANK HSBC INDONESIA,SURABAYA,,HSBCIDJASBA
362,PT BANK IBK INDONESIA TBK,JAKARTA,,IBKOIDJA
363,PT BANK ICBC INDONESIA,JAKARTA,,ICBKIDJA
364,PT BANK ICBC INDONESIA,SURABAYA,,HAINIDJ1
365,PT BANK INDEX SELINDO,JAKARTA,,BIDXIDJA
366,PT BANK KB BUKOPIN TBK,JAKARTA,,BBUKIDJA
367,PT BANK MAYBANK INDONESIA TBK,JAKARTA,,IBBKIDJA
368,PT BANK MAYBANK INDONESIA TBK,JAKARTA,EXPEND CONTROL DEPT.,IBBKIDJADEX
369,PT BANK MAYBANK INDONESIA TBK,JAKARTA,JUANDA BRANCH,IBBKIDJA138
370,PT BANK MAYBANK INDONESIA TBK,JAKARTA,KALIBESAR BRANCH,IBBKIDJA001
371,PT BANK MAYBANK INDONESIA TBK,JAKARTA,PANGLIMA POLIM BRANCH,IBBKIDJA008
372,PT BANK MAYBANK INDONESIA TBK,JAKARTA,THAMRIN BRANCH,IBBKIDJA003
373,PT BANK MAYBANK INDONESIA TBK,JAKARTA,UUS TREASURY,IBBKIDJATRS
374,PT BANK MESTIKA DHARMA TBK,MEDAN,,BMDMIDJA
375,"PT BANK PANIN DUBAI SYARIAH, TBK",JAKARTA,,PNBSIDJA
376,"PT BANK PERMATA, TBK",BANDUNG,,BBBAIDJ10J6
377,"PT BANK PERMATA, TBK",JAKARTA,,BBBAIDJA
378,"PT BANK PERMATA, TBK",MEDAN,,BBBAIDJ10SS
379,"PT BANK PERMATA, TBK",SEMARANG,,BBBAIDJ10J8
380,"PT BANK PERMATA, TBK",SURABAYA,,BBBAIDJ10JD
381,PT BANK QNB INDONESIA TBK,JAKARTA,,AWANIDJA
382,PT BANK QNB INDONESIA TBK,JAKARTA,,KESBIDS1
383,PT BANK RABOBANK INTERNATIONAL INDONESIA,JAKARTA,,BHAGIDS1
384,PT BANK RIAU KEPRI SYARIAH (PERSERODA),PEKANBARU,,PDRIIDJA
385,PT BANK SULSELBAR,MAKASSAR,KANTOR PUSAT,PDWSIDJA
386,PT BANK SYARIAH INDONESIA TBK,JAKARTA,,BSMDIDJA
387,PT BANK UOB INDONESIA,BANDUNG,,BBIJIDJA004
388,PT BANK UOB INDONESIA,DENPASAR,,BBIJIDJ1024
389,PT BANK UOB INDONESIA,DENPASAR,DENPASAR BRANCH,BBIJIDJ10BD
390,PT BANK UOB INDONESIA,JAKARTA,,BBIJIDJA
391,PT BANK UOB INDONESIA,MEDAN,,BBIJIDJA002
392,PT BANK UOB INDONESIA,SURABAYA,,BBIJIDJA003
393,PT BENTOEL INTERNASIONAL INVESTAMA,JAKARTA,,BATSIDA1
394,PT BENTOEL PRIMA,MALANG,,BATSID21
395,PT BNI SEKURITAS,JAKARTA,,BNIKIDJ2
396,PT BNP PARIBAS INVESTMENT PARTNERS,JAKARTA,,BPIEIDJ1
397,PT BUANA CAPITAL,JAKARTA,,BUNCIDJ1
398,PT BUANA CAPITAL SEKURITAS,JAKARTA,,BUAKIDJ1
399,PT BUMIPUTERA SEKURITAS,JAKARTA,,FISNIDJ1
400,PT CIPTADANA SEKURITAS ASIA,JAKARTA,,CIUEIDJ1
401,PT CREDIT SUISSE SEKURITAS INDONESIA,JAKARTA,,CRESIDJ1
402,PT DANATAMA MAKMUR,JAKARTA,,DANMIDJ1
403,PT DBS VICKERS SEKURITAS INDONESIA,JAKARTA,,TRSEIDJ1
404,PT DEUTSCHE SEKURITAS INDONESIA,JAKARTA,,MGIAIDJ1
405,PT DHANAWIBAWA ARTHA CEMERLANG,JAKARTA,,DWACIDJ1
406,PT DOMPET ANAK BANGSA,JAKARTA,,GOPYIDJA
407,PT EASTSPRING INVESTMENTS INDONESIA,JAKARTA,,EAIIIDJ1
408,PT EFICORP SEKURITAS,JAKARTA,,SATSIDJ1
409,PT FITCH RATINGS INDONESIA,JAKARTA,,FRIPIDJ1
410,PT GOTO GOJEK TOKOPEDIA TBK,JAKARTA,,GOJKIDJA
411,PT HENAN PUTIHRAI,JAKARTA,,HENPIDJ1
412,PT INDO PREMIER SEKURITAS,JAKARTA,,INPUIDJ1
413,PT J.P. MORGAN SEKURITAS INDONESIA,JAKARTA,,CHASIDS1
414,PT KAF SEKURITAS INDONESIA,JAKARTA,,KASDIDJ2
415,PT KGI SEKURITAS INDONESIA,JAKARTA,,KGSIIDJ2
416,PT KGI SEKURITAS INDONESIA,JAKARTA,HEAD QUARTER,KGSIIDJ2HQX
417,PT KIWOOM SEKURITAS INDONESIA,JAKARTA,,KIWOIDJ2
418,PT KOREA INVESTMENT AND SEKURITAS INDONESIA,JAKARTA,,AMCEIDJ1
419,PT KOREA INVESTMENT AND SEKURITAS INDONESIA,JAKARTA,,KISIIDJ2
420,PT KRESNA GRAHA INVESTAMA TBK,JAKARTA,,KGSTIDJ1
421,PT LIPPO SECURITIES TBK,TANGERANG,,LIPSIDJ1
422,PT LOTUS ANDALAN SEKURITAS,JAKARTA,,LAUSIDJ1
423,PT MACQUARIE CAPITAL SECURITIES INDONESIA,JAKARTA,,IBSEIDJ1
424,PT MAKINDO SECURITIES,JAKARTA,,SEMAIDJ1
425,PT MANDIRI SEKURITAS,JAKARTA,,EXISIDJ1
426,PT MANDIRI SEKURITAS,JAKARTA,,MEREIDJ1
427,PT MERRILL LYNCH SEKURITAS INDONESIA,JAKARTA,,MLIOIDJ1
428,PT MIRAE ASSET SEKURITAS INDONESIA,JAKARTA,,MAKNIDJ1
429,PT MNC INVESTAMA TBK,JAKARTA,,BHANIDJ1
430,PT MULTI KARYA UTAMA ABADI,BANDUNG,,MKUAIDJ2
